Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DLR,Digital Realty Trust,120.96,-0.38000000000001,-0.31%,122.3,119.38,1511804,18:30 ET
DLTR,Dollar Tree Inc,141.78,-1.03,-0.72%,142.79,140.45,1504700,2023-08-21
DOV,Dover Corp,139.9,-0.66999999999999,-0.48%,141.035,138.7,499029,18:30 ET
DOW,Dow Inc,54.17,0.15,0.28%,54.4,53.82,3112128,18:30 ET
DPZ,Domino's Pizza Inc,379.88,1.05,0.28%,381.52,375.71,366014,18:30 ET
DRI,Darden Restaurants,155.29,-3.18,-2.01%,159.01,154.175,1372981,18:30 ET
DTE,Dte Energy Company,104.8,-0.79000000000001,-0.75%,105.46,104.04,1319304,18:30 ET
DUK,Duke Energy Corp,89.63,-1.57,-1.72%,91.095,89.13,3910671,18:30 ET
DVA,Davita Healthcare Partners Inc,101.89,0.33,0.32%,102.395,100.49,403369,18:30 ET
DVN,Devon Energy Corp,50.17,0.18,0.36%,50.88,49.61,6523910,18:30 ET
DXC,Dxc Technology Company,20.36,0.11,0.54%,20.4,20.065,1586538,18:30 ET
DXCM,Dexcom Inc,104.68,-1.37,-1.29%,106.5,104.45,3425000,2023-08-21
EA,Electronic Arts Inc,118.6,0.24,0.20%,119.13,117.82,1412000,2023-08-21
EBAY,Ebay Inc,43.04,0.05,0.12%,43.26,42.76,3385400,2023-08-21
ECL,Ecolab Inc,180.47,1.12,0.62%,181.43,179.045,769217,18:30 ET
ED,Consolidated Edison Company,88.71,-0.61,-0.68%,89.51,88,1268773,18:30 ET
EFX,Equifax Inc,191.71,-0.44999999999999,-0.23%,192.51,190.08,650363,18:30 ET
EG,Everest Re Group,348.6,0.20000000000005,0.06%,351.07,343.36,133098,18:30 ET
EIX,Edison International,69.01,-0.030000000000001,-0.04%,69.31,67.92,1380032,18:30 ET
EL,Estee Lauder Companies,150.9,-5.79,-3.70%,156.55,149.92,5333471,18:30 ET
ELV,Elevance Health Inc,466.27,3.49,0.75%,467.02,460.82,729320,18:30 ET
EMN,Eastman Chemical Company,83.38,-0.25,-0.30%,84.2,83.01,655741,18:30 ET
EMR,Emerson Electric Company,95.06,-0.73,-0.76%,95.91,94.135,1842859,18:30 ET
ENPH,Enphase Energy Inc,130.16,-0.18,-0.14%,132.19,129.22,2386500,2023-08-21
EOG,Eog Resources,130.37,-0.25999999999999,-0.20%,132.3869,129.63,1627486,18:30 ET
EPAM,Epam Systems Inc,240.44,1.05,0.44%,242.2,237.53,494471,18:30 ET
EQIX,Equinix Inc,745.74,-4.03,-0.54%,752.34,738.55,266400,2023-08-21
EQR,Equity Residential,63.01,-0.84,-1.32%,63.7792,62.56,1249205,18:30 ET
EQT,Eqt Corp,44.57,1.1,2.53%,44.88,43.78,7606102,18:30 ET
ES,Eversource Energy,63.85,-0.62,-0.96%,64.66,63.3,1646750,18:30 ET
ESS,Essex Property Trust,233.15,-3.16,-1.34%,236.105,231.18,234101,18:30 ET
ETN,Eaton Corp,215.74,1.09,0.51%,216.23,213.06,1342859,18:30 ET
ETR,Entergy Corp,95.08,-0.5,-0.52%,95.905,94.01,825141,18:30 ET
ETSY,Etsy Inc,73.32,-0.46,-0.62%,75.06,73.05,2733300,2023-08-21
EVRG,Evergy Inc,56.08,-0.32,-0.57%,56.48,55.46,1022000,2023-08-21
EW,Edwards Lifesciences Corp,76.33,-0.25,-0.33%,76.97,75.665,3315554,18:30 ET
EXC,Exelon Corp,39.74,-0.27,-0.67%,40.05,39.4,6239800,2023-08-21
EXPD,Expeditors Intl,114.6,-1.23,-1.06%,116.65,114.17,571100,2023-08-21
EXPE,Expedia Group Inc,108.07,0.86,0.80%,108.85,107.23,1712600,2023-08-21
EXR,Extra Space Storage Inc,127.33,0.47,0.37%,127.82,125.37,1521329,18:30 ET
F,Ford Motor Company,11.97,0.0099999999999998,0.08%,12.06,11.87,33439112,18:30 ET
FANG,Diamondback Energy,148.45,0.41,0.28%,150.31,147.13,2387900,2023-08-21
FAST,Fastenal Company,57.19,-0.3,-0.52%,57.67,56.65,2220300,2023-08-21
FCX,Freeport-Mcmoran Inc,38.73,-0.11000000000001,-0.28%,39.265,38.45,8988182,18:30 ET
FDS,Factset Research Systems Inc,430,0.60000000000002,0.14%,430.39,425.0745,189348,18:30 ET
FDX,Fedex Corp,259.94,-2.71,-1.03%,263.387,258.9,1628621,18:30 ET
FE,Firstenergy Corp,35.89,-0.28,-0.77%,36.29,35.58,2251213,18:30 ET
FFIV,F5 Inc,156.17,0.85,0.55%,156.77,155.3,297900,2023-08-21
FI,Fiserv Inc,119.09,-0.98999999999999,-0.82%,120.44,118.57,1767736,18:30 ET
FICO,Fair Isaac and Company,845.4,-0.73000000000002,-0.09%,860.22,845.06,135931,18:30 ET
FIS,Fidelity National Information Services,55.68,0.29,0.52%,55.88,54.8,2377878,18:30 ET
FITB,Fifth Third Bancorp,25.68,0.09,0.35%,25.8,25.4,3475300,2023-08-21
FLT,Fleetcor Technologies,258.05,-4.18,-1.59%,262.75,257.9,502841,18:30 ET
FMC,FMC Corp,88.15,-0.84999999999999,-0.96%,89.12,87.43,931855,18:30 ET
FOX,Fox Corp Cl B,30.99,-0.3,-0.96%,31.38,30.86,738100,2023-08-21
FOXA,Fox Corp Cl A,33.2,-0.25,-0.75%,33.56,33.06,3361200,2023-08-21
FRT,Federal Realty Investment Trust,95.83,-0.59,-0.61%,96.365,94.25,958207,18:30 ET
FSLR,First Solar Inc,181.7,-0.21,-0.12%,182.8,176.6,2701500,2023-08-21
FTNT,Fortinet Inc,58.39,1.23,2.15%,58.72,57.79,6711000,2023-08-21
FTV,Fortive Corp,76.48,0.40000000000001,0.53%,76.62,75.75,1422137,18:30 ET
GD,General Dynamics Corp,224.28,-0.13999999999999,-0.06%,224.82,223.4554,769867,18:30 ET
GE,General Electric Company,112.02,0.22999999999999,0.21%,112.48,111.0198,2941614,18:30 ET
GEHC,Ge Healthcare Technologies Inc,68.97,0.61,0.89%,69.5,68.6,2803900,2023-08-21
GEN,Gen Digital Inc,20.79,0.42,2.06%,20.86,20.36,3450000,2023-08-21
GILD,Gilead Sciences Inc,75.94,0.06,0.08%,76.26,75.54,5359100,2023-08-21
GIS,General Mills,68.75,-1.46,-2.08%,69.96,68.195,4741110,18:30 ET
GL,Globe Life Inc,112.75,0.31,0.28%,112.83,111.84,388248,18:30 ET
GLW,Corning Inc,32,-0.15,-0.47%,32.23,31.845,1992436,18:30 ET
GM,General Motors Company,33.27,0.15000000000001,0.45%,33.41,32.975,10764681,18:30 ET
GNRC,Generac Holdings Inc,116.18,2.83,2.50%,117.4398,114.18,1758898,18:30 ET
GOOG,Alphabet Cl C,128.93,0.82,0.64%,129.26,127.16,21831701,2023-08-21
GOOGL,Alphabet Cl A,128.37,0.91,0.71%,128.73,126.56,25231500,2023-08-21
GPC,Genuine Parts Company,153.88,-0.99000000000001,-0.64%,155.203,152.85,776863,18:30 ET
GPN,Global Payments Inc,123.64,-0.42,-0.34%,124.875,122.615,1703484,18:30 ET
GRMN,Garmin Ltd,101.7,0.15000000000001,0.15%,102.11,101.29,452187,18:30 ET
GS,Goldman Sachs Group,322.06,-2.87,-0.88%,326.39,319.39,1983507,18:30 ET
GWW,W.W. Grainger,703.06,-0.49000000000001,-0.07%,708.02,695.45,140960,18:30 ET
HAL,Halliburton Company,39,-0.4,-1.02%,39.78,38.7,6803278,18:30 ET
HAS,Hasbro Inc,63.25,-0.51,-0.80%,64.22,63.02,899000,2023-08-21
HBAN,Huntington Bcshs,11.14,0,0.00%,11.22,11,8327000,2023-08-21
HCA,Hca Holdings Inc,274.82,5.78,2.15%,275.12,269.44,1264313,18:30 ET
HD,Home Depot,324.06,-3.31,-1.01%,327.87,323.5,3109518,18:30 ET
HES,Hess Corp,153.67,-1.89,-1.21%,157.98,153.26,1483305,18:30 ET
HIG,Hartford Financial Services Group,71.41,-0.41,-0.57%,72.19,70.98,844364,18:30 ET
HII,Huntington Ingalls Industries,219.91,0.47,0.21%,220.89,218.34,239617,18:30 ET
HLT,Hilton Inc,149,-1.8,-1.19%,151.85,148.29,1478767,18:30 ET
HOLX,Hologic Inc,75.23,2.08,2.84%,75.5,73.17,1996200,2023-08-21
HON,Honeywell International Inc,186.95,0.37,0.20%,187.3,185.42,1930500,2023-08-21
HPE,Hewlett Packard Enterprise Comp,17.04,0.039999999999999,0.24%,17.12,16.88,8775976,18:30 ET
HPQ,HP Inc,31.29,0.23,0.74%,31.35,31.04,3214442,18:30 ET
HRL,Hormel Foods Corp,38.94,-0.35,-0.89%,39.25,38.77,1952472,18:30 ET
HSIC,Henry Schein Inc,76.44,-0.08,-0.10%,76.99,76.2,565200,2023-08-21
HST,Host Marriott Financial Trust,15.95,-0.16,-0.99%,16.19,15.87,7969900,2023-08-21
HSY,Hershey Foods Corp,216.29,-2.49,-1.14%,218.5,215.48,1640201,18:30 ET
HUM,Humana Inc,491.28,0.88999999999999,0.18%,491.97,487.2477,747748,18:30 ET
HWM,Howmet Aerospace Inc,48.57,-0.21,-0.43%,48.92,48.185,1677641,18:30 ET
IBM,International Business Machines,142.28,0.87,0.62%,142.39,141.11,2937581,18:30 ET
ICE,Intercontinental Exchange,113.86,0.11,0.10%,114.1,113.1,2340011,18:30 ET
IDXX,Idexx Laboratories,481.97,-1.76,-0.36%,485.17,477.55,418300,2023-08-21
IEX,Idex Corp,221.22,1.8,0.82%,221.44,218.82,488185,18:30 ET
IFF,International Flavors & Fragrances,64.57,0.88,1.38%,64.69,63.34,1718786,18:30 ET
ILMN,Illumina Inc,167.41,0.19,0.11%,168.42,165.56,886300,2023-08-21
INCY,Incyte Corp,64.88,0.84,1.31%,65.02,63.67,1459300,2023-08-21
INTC,Intel Corp,33.14,0.39,1.19%,33.17,32.02,43695602,2023-08-21
INTU,Intuit Inc,488.26,2.3,0.47%,490,481.88,1206000,2023-08-21
INVH,Invitation Homes Inc,32.87,-0.59,-1.76%,33.45,32.635,2222475,18:30 ET
IP,International Paper Company,34.06,-0.45,-1.30%,34.45,33.65,2247923,18:30 ET
IPG,Interpublic Group of Companies,32.29,-0.060000000000002,-0.19%,32.58,31.885,2110538,18:30 ET
IQV,Iqvia Holdings Inc,214.36,0.38000000000002,0.18%,215.22,212.071,860737,18:30 ET
IR,Ingersoll Rand Inc,66.7,0.21000000000001,0.32%,66.97,66.11,1553457,18:30 ET
IRM,Iron Mountain Inc,58.56,-0.55,-0.93%,59.28,58.1,919526,18:30 ET
ISRG,Intuitive Surg Inc,286.67,0.72,0.25%,286.88,282.5,1776600,2023-08-21
IT,Gartner Inc,332.11,3.96,1.21%,333.36,328.2,299707,18:30 ET
ITW,Illinois Tool Works Inc,235.75,-0.030000000000001,-0.01%,236.475,234.12,659679,18:30 ET
IVZ,Invesco Plc,14.99,-0.25,-1.64%,15.29,14.88,2480296,18:30 ET
J,Jacobs Engineering Group Inc,136.16,2.61,1.95%,136.21,133.83,747059,18:30 ET
JBHT,J B Hunt Transport,191.62,0.61,0.32%,192.43,189.55,489900,2023-08-21
JCI,Johnson Controls Intl,58.85,-0.44,-0.74%,59.48,58.36,3490355,18:30 ET
JKHY,Jack Henry & Assoc,155.13,0.1,0.06%,155.81,152.88,627100,2023-08-21
JNJ,Johnson & Johnson,167.35,-5.14,-2.98%,169.85,165.96,151318889,18:30 ET
JNPR,Juniper Networks,28,-0.2,-0.71%,28.34,27.94,2602015,18:30 ET
JPM,JP Morgan Chase & Company,149.48,0.50999999999999,0.34%,150.105,148.02,8324884,18:30 ET
K,Kellogg Company,61.12,-0.73,-1.18%,61.8,60.755,2066689,18:30 ET
KDP,Keurig Dr Pepper Inc,33.63,-0.12,-0.36%,33.81,33.48,6136800,2023-08-21
KEY,Keycorp,10.89,0.06,0.55%,10.96,10.68,15520972,18:30 ET
KEYS,Keysight Technologies Inc,129.59,0.22,0.17%,130,126.01,3565296,18:30 ET
KHC,Kraft Heinz Company,33.48,-0.18,-0.53%,33.71,33.28,6604400,2023-08-21
KIM,Kimco Realty Corp,18.76,-0.33,-1.73%,19.065,18.575,2334082,18:30 ET
KLAC,K L A-Tencor Corp,490.71,12.75,2.67%,492.47,478.73,842700,2023-08-21
KMB,Kimberly-Clark Corp,126.7,-1.54,-1.20%,128.62,126.33,1203282,18:30 ET
KMI,Kinder Morgan,17.36,-0.07,-0.40%,17.49,17.241,9743912,18:30 ET
KMX,Carmax Inc,80.9,-1.59,-1.93%,82.67,79.35,1568681,18:30 ET
KO,Coca-Cola Company,60.43,-0.52,-0.85%,60.93,60.3206,8644312,18:30 ET
KR,Kroger Company,47.39,-0.18,-0.38%,47.815,46.915,3815828,18:30 ET
L,Loews Corp,61.7,0.11,0.18%,61.96,61.36,569765,18:30 ET
LDOS,Leidos Holdings Inc,96.47,0.37,0.39%,96.52,95.65,693039,18:30 ET
LEN,Lennar Corp,115.83,-1.17,-1.00%,117.1899,114.46,1653926,18:30 ET
LH,Laboratory Corp of America Holdings,215.63,1.2,0.56%,216.56,214.45,590234,18:30 ET
LHX,L3Harris Technologies Inc,180.92,-0.56,-0.31%,181.455,180.12,916396,18:30 ET
LIN,Linde Plc,377.49,2.39,0.64%,378.52,373.47,947343,18:30 ET
LKQ,LKQ Corp,52.35,-0.04,-0.08%,52.72,52.03,826700,2023-08-21
LLY,Eli Lilly and Company,550.05,3.62,0.66%,553.5,545.75,2304850,18:30 ET
LMT,Lockheed Martin Corp,451.49,1.43,0.32%,453.03,449,573481,18:30 ET
LNC,Lincoln National Corp,25.9,0.15,0.58%,26.26,25.535,1813302,18:30 ET
LNT,Alliant Energy Corp,50.28,-0.34,-0.67%,50.63,49.83,1113500,2023-08-21
LOW,Lowe's Companies,217.59,-1.76,-0.80%,220.62,216.25,2802830,18:30 ET
LRCX,Lam Research Corp,669.24,16.3,2.50%,672.26,653.72,908000,2023-08-21
LUV,Southwest Airlines Company,31.92,-0.23,-0.72%,32.5231,31.77,7321874,18:30 ET
LVS,Las Vegas Sands,53,-0.34,-0.64%,53.48,52.78,2773466,18:30 ET
LW,Lamb Weston Holdings Inc,94.49,-0.26000000000001,-0.27%,95.08,93.945,1474964,18:30 ET
LYB,Lyondellbasell Industries NV,97.91,0.52,0.53%,98.32,97.29,1665527,18:30 ET
LYV,Live Nation Entertainment,83.96,-0.43000000000001,-0.51%,84.95,83.27,904423,18:30 ET
MA,Mastercard Inc,393.2,1.03,0.26%,394.99,391.02,1869375,18:30 ET
MAA,Mid-America Apartment Communities,142.27,-1.51,-1.05%,143.82,141.83,444883,18:30 ET
MAR,Marriot Int Cl A,199.81,-2.28,-1.13%,203.55,198.59,2210700,2023-08-21
MAS,Masco Corp,56.13,-0.66,-1.16%,57.13,55.72,1010885,18:30 ET
MCD,McDonald's Corp,280.04,-1.7,-0.60%,282.29,278.675,2682364,18:30 ET
MCHP,Microchip Technology,80.52,1.11,1.40%,80.81,79.06,4479600,2023-08-21
MCK,Mckesson Corp,425.85,5.42,1.29%,427.6,419.02,863138,18:30 ET
MCO,Moody's Corp,324.78,-2.24,-0.68%,328.19,323.11,517081,18:30 ET
MDLZ,Mondelez Intl Inc,70.73,-0.4,-0.56%,71.24,70.57,4786900,2023-08-21
MDT,Medtronic Inc,81.61,0.090000000000003,0.11%,82.29,81.23,4717622,18:30 ET
MET,Metlife Inc,61.95,-0.31,-0.50%,62.56,61.45,2137810,18:30 ET
META,Meta Platforms Inc,289.9,6.65,2.35%,290.5,281.85,20150799,2023-08-21
MGM,MGM Resorts International,42.29,-0.25,-0.59%,42.94,42.06,4966275,18:30 ET
MHK,Mohawk Industries,97.18,-0.42999999999999,-0.44%,98.11,95.8,464798,18:30 ET
MKC,Mccormick & Company,83.66,-1.31,-1.54%,84.77,83.43,990268,18:30 ET
MKTX,Marketaxess Holdings,250.34,2.14,0.86%,253.11,244.2,372000,2023-08-21
MLM,Martin Marietta Materials,432.55,1.38,0.32%,433.75,424.26,294857,18:30 ET
MMC,Marsh & Mclennan Companies,189.19,0.34999999999999,0.19%,190.35,187.56,919480,18:30 ET
MMM,3M Company,99.19,-0.82000000000001,-0.82%,100.1,98.53,2302328,18:30 ET
MNST,Monster Beverage Cp,57.42,0.06,0.10%,57.87,57.07,3318000,2023-08-21
MO,Altria Group,42.73,-0.18,-0.42%,43.02,42.57,5441264,18:30 ET
MOH,Molina Healthcare Inc,320,5.77,1.84%,320.61,314,245349,18:30 ET
MOS,Mosaic Company,39.54,0.030000000000001,0.08%,39.89,39.13,1649695,18:30 ET
MPC,Marathon Petroleum Corp,142.85,-1.77,-1.22%,145.46,141.275,3495296,18:30 ET
MPWR,Monolithic Power Sys,498.89,16.6,3.44%,501.56,482.86,505300,2023-08-21
MRK,Merck & Company,109.64,0.44,0.40%,110,108.945,6012622,18:30 ET
MRNA,Moderna Inc,111.08,9.46,9.31%,112.32,101.82,7740000,2023-08-21
MRO,Marathon Oil Corp,26.44,0.050000000000001,0.19%,26.8099,26.165,12166133,18:30 ET
MS,Morgan Stanley,84.25,-0.64,-0.75%,85.3148,83.66,5384158,18:30 ET
MSCI,MSCI Inc,524.74,4.5700000000001,0.88%,526.74,516.48,353933,18:30 ET
MSFT,Microsoft Corp,321.88,5.4,1.71%,322.77,317.04,23996600,2023-08-21
MSI,Motorola Solutions,277.16,-0.51999999999998,-0.19%,279.24,276.09,476724,18:30 ET
MTB,M&T Bank Corp,128.39,0.70999999999998,0.56%,128.6496,126.745,535357,18:30 ET
MTCH,Match Group Inc,44.39,-0.01,-0.02%,45.33,43.7,2465100,2023-08-21
MTD,Mettler-Toledo International,1169.67,-15.0101,-1.27%,1184.74,1166.09,142327,18:30 ET
MU,Micron Technology,63.96,0.37,0.58%,64.19,62.86,11306200,2023-08-21
NCLH,Norwegian Cruise Ord,17.01,0.33,1.98%,17.01,16.695,8179904,18:30 ET
NDAQ,Nasdaq Inc,51.79,-0.01,-0.02%,51.95,51.27,2298300,2023-08-21
NDSN,Nordson Corp,230.69,-1.64,-0.71%,232.84,230.01,353100,2023-08-21
NEE,Nextera Energy,67.08,-0.75,-1.11%,67.8,66.6749,6855455,18:30 ET
NEM,Newmont Mining Corp,38.25,0.049999999999997,0.13%,38.44,38.015,7273709,18:30 ET
NFLX,Netflix Inc,408.29,3.76,0.93%,409.61,399.5,3852800,2023-08-21
NI,NiSource Inc,26.34,-0.1,-0.38%,26.46,26.165,2387536,18:30 ET
NKE,Nike Inc,102.86,-1.95,-1.86%,105.48,102.63,6695547,18:30 ET
NOC,Northrop Grumman Corp,433.69,3.52,0.82%,434.72,429.07,542468,18:30 ET
NOW,Servicenow Inc,554.7,13.2,2.44%,555.31,542.55,847468,18:30 ET
NRG,NRG Energy,36.87,0.41999999999999,1.15%,36.94,36.3,2578972,18:30 ET
NSC,Norfolk Southern Corp,210.09,-2.02,-0.95%,212.4909,209.24,1170653,18:30 ET
NTAP,Netapp Inc,76.46,1.15,1.53%,76.63,75.53,2380700,2023-08-21
NTRS,Northern Trust Corp,76.19,-0.55,-0.72%,77.07,75.16,1038600,2023-08-21
NUE,Nucor Corp,167.66,-0.68000000000001,-0.40%,169.18,166.4765,714569,18:30 ET
NVDA,Nvidia Corp,469.67,36.68,8.47%,470.65,442.22,68962000,2023-08-21
NVR,NVR Inc,6009.2202,-69.7398,-1.15%,6104.5698,5951.3179,17156,18:30 ET
NWL,Newell Rubbermaid Inc,10.21,-0.33,-3.13%,10.57,10.05,5965800,2023-08-21
NWS,News Corp Cl B,21.04,-0.15,-0.71%,21.27,20.79,512700,2023-08-21
NWSA,News Corp Cl A,20.59,-0.17,-0.82%,20.88,20.36,2032100,2023-08-21
NXPI,Nxp Semiconductors,201.62,5.05,2.57%,202.54,196.57,1946200,2023-08-21
O,Realty Income Corp,56.23,-0.67,-1.18%,56.91,55.96,4746772,18:30 ET
ODFL,Old Dominion Freight Line Inc,403.11,9.62,2.44%,409.57,396.93,724400,2023-08-21
OGN,Organon & Co.,22.4,-0.09,-0.40%,22.61,22.24,1169930,18:30 ET
OKE,Oneok Inc,65.26,-0.33999999999999,-0.52%,65.93,64.885,1782572,18:30 ET
OMC,Omnicom Group Inc,79.33,-0.58,-0.73%,80.1,78.5886,804101,18:30 ET
ON,On Semiconductor,93.03,2.3,2.53%,93.52,91.23,4578900,2023-08-21
ORCL,Oracle Corp,116.59,0.13000000000001,0.11%,117.35,115.19,5807839,18:30 ET
ORLY,O'Reilly Automotive,945.49,7.49,0.80%,947.05,931.67,357500,2023-08-21
OTIS,Otis Worldwide Corp,83.52,-0.21000000000001,-0.25%,83.85,82.98,1660300,18:30 ET
