Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
STT,State Street Corp,67.42,-0.53,-0.78%,68.08,66.42,1858061,18:30 ET
STX,Seagate Technology Hldgs Plc,65.5,1.15,1.79%,65.55,64.13,1113100,2023-08-21
STZ,Constellation Brands Inc,258.99,1.92,0.75%,259.255,255.72,825369,18:30 ET
SWK,Stanley Black & Decker Inc,89.65,-0.069999999999993,-0.08%,91.45,88.8,1589942,18:30 ET
SWKS,Skyworks Solutions,107.04,2.34,2.23%,107.59,104.43,1713400,2023-08-21
SYF,Synchrony Financial,32.91,-0.26000000000001,-0.78%,33.34,32.66,2578674,18:30 ET
SYK,Stryker Corp,276.24,-1.67,-0.60%,279.97,275.26,1175976,18:30 ET
SYY,Sysco Corp,71.07,-0.40000000000001,-0.56%,71.54,70.65,1701796,18:30 ET
T,AT&T Inc,14.1,0.049999999999999,0.36%,14.14,13.92,47836447,18:30 ET
TAP,Molson Coors Brewing Company,62.78,-0.25,-0.40%,63.155,62.34,986247,18:30 ET
TDG,Transdigm Group Inc,852.31,-4.8200000000001,-0.56%,861.2532,848.19,247642,18:30 ET
TDY,Teledyne Technologies Inc,404.42,0.79000000000002,0.20%,406.48,402.615,246476,18:30 ET
TECH,Bio-Techne Cp,78.68,0.44,0.56%,79.05,77.83,523300,2023-08-21
TEL,Te Connectivity Ltd,128.28,0.58,0.45%,128.99,127.45,1536454,18:30 ET
TER,Teradyne Inc,102.74,1.68,1.66%,103.08,100.83,1250900,2023-08-21
TFC,Truist Financial Corp,28.61,-0.17,-0.59%,29.04,28.15,10972891,18:30 ET
TFX,Teleflex Inc,218.39,0.77999999999997,0.36%,220.225,215.96,193552,18:30 ET
TGT,Target Corp,127.79,-3.42,-2.61%,131.745,127.43,5926688,18:30 ET
TJX,TJX Companies,89.62,0.10000000000001,0.11%,89.88,88.56,5617201,18:30 ET
TMO,Thermo Fisher Scientific Inc,532.26,-0.12,-0.02%,536.56,530.35,903823,18:30 ET
TMUS,T-Mobile US,135.55,-0.59,-0.43%,136.6,134.73,4141000,2023-08-21
TPR,Tapestry Inc,33.81,-0.78,-2.25%,34.845,33.73,3619962,18:30 ET
TRGP,Targa Resources,84.53,-0.22,-0.26%,85.39,83.5,2553268,18:30 ET
TRMB,Trimble Navigation,52.88,0.1,0.19%,53.39,52.37,907200,2023-08-21
TROW,T Rowe Price Group,107.48,-0.13,-0.12%,108.15,106.46,1600700,2023-08-21
TRV,The Travelers Companies Inc,161.6,-0.87,-0.54%,163.1,160.07,1372284,18:30 ET
TSCO,Tractor Supply Company,215.62,-3.7,-1.69%,220.23,215.33,1288300,2023-08-21
TSLA,Tesla Inc,231.28,15.79,7.33%,232.13,220.58,135166703,2023-08-21
TSN,Tyson Foods,54.81,0.18,0.33%,55,54.2,2358435,18:30 ET
TT,Trane Technologies Plc,198.42,1.47,0.75%,199.06,195.315,726132,18:30 ET
TTWO,Take-Two Interactive,139.56,2.1,1.53%,139.74,137.73,1001300,2023-08-21
TXN,Texas Instruments,167.95,1.46,0.88%,168.58,166.09,3940600,2023-08-21
TXT,Textron Inc,75.55,0.3,0.40%,75.94,75,762114,18:30 ET
TYL,Tyler Technologies,375.05,2.88,0.77%,375.46,371.55,137984,18:30 ET
UAL,United Airlines Holdings Inc,49.63,0.53,1.08%,49.73,48.93,3511300,2023-08-21
UDR,United Dominion Realty Trust,38.09,-0.31999999999999,-0.83%,38.34,37.74,1753927,18:30 ET
UHS,Universal Health Services,128.3,-0.25999999999999,-0.20%,129.33,127.39,477301,18:30 ET
ULTA,Ulta Beauty Inc,447.91,-5.02,-1.11%,457.6,444.11,800000,2023-08-21
UNH,Unitedhealth Group Inc,497.68,-0.75999999999999,-0.15%,500.25,496.22,1533567,18:30 ET
UNP,Union Pacific Corp,223.97,-1.29,-0.57%,225.79,223.4,2000612,18:30 ET
UPS,United Parcel Service,168.49,-2.75,-1.61%,171.7274,167.07,3512009,18:30 ET
URI,United Rentals,452.48,1.07,0.24%,457.79,448.1517,375503,18:30 ET
USB,U.S. Bancorp,36.76,-0.080000000000005,-0.22%,36.94,36.41,8614732,18:30 ET
V,Visa Inc,239.46,1.29,0.54%,240.53,237.755,3572516,18:30 ET
VFC,V.F. Corp,20.36,0.35,1.75%,20.64,20.03,6985400,18:30 ET
VICI,Vici Properties Inc,29.86,-0.22,-0.73%,30.165,29.63,3226078,18:30 ET
VLO,Valero Energy Corp,131.16,-2.42,-1.81%,134.55,129.34,3733980,18:30 ET
VMC,Vulcan Materials Company,212.57,0.76999999999998,0.36%,213.071,208.73,856369,18:30 ET
VRSK,Verisk Analytics Inc,232.38,1.44,0.62%,233.23,229.76,800300,2023-08-21
VRSN,Verisign Inc,201.93,0.59,0.29%,202.81,200.79,221900,2023-08-21
VRTX,Vertex Pharmaceutic,350.74,5.92,1.72%,351.23,344.44,1049700,2023-08-21
VTR,Ventas Inc,41.64,-0.32,-0.76%,42.06,41.31,1994239,18:30 ET
VTRS,Viatris Inc,11.25,-0.01,-0.09%,11.38,11.18,5994300,2023-08-21
VZ,Verizon Communications Inc,33,-0.18,-0.54%,33.219,32.77,27068627,18:30 ET
WAB,Wabtec Corp,111.43,0.080000000000013,0.07%,111.62,110.35,389762,18:30 ET
WAT,Waters Corp,267.17,-2.83,-1.05%,271.265,266.22,358582,18:30 ET
WBA,Walgreens Boots Alliance,26.44,-0.1,-0.38%,26.61,26.21,6832000,2023-08-21
WBD,Discovery Inc Series A,12.65,-0.13,-1.02%,12.8,12.5,10925301,2023-08-21
WDC,Western Digital Cp,40.4,0.66,1.66%,40.44,39.55,1462200,2023-08-21
WEC,Wisconsin Energy Corp,85.09,-0.89999999999999,-1.05%,85.97,84.655,1145971,18:30 ET
WELL,Welltower Inc,80.32,-0.88000000000001,-1.08%,81.7,80.12,2207305,18:30 ET
WFC,Wells Fargo & Company,42.49,-0.009999999999998,-0.02%,42.865,42.12,12598029,18:30 ET
WHR,Whirlpool Corp,133.23,-1.92,-1.42%,135.75,132.88,492480,18:30 ET
WM,Waste Management,158.87,0,0.00%,159.72,158.15,950608,18:30 ET
WMB,Williams Companies,34.83,0.059999999999995,0.17%,34.98,34.4943,5960593,18:30 ET
WMT,Walmart Inc,157.51,-0.42000000000002,-0.27%,158.84,157.04,5225102,18:30 ET
WRB,W.R. Berkley Corp,61.3,-0.64,-1.03%,62.11,61.18,935676,18:30 ET
WRK,Westrock Company,31.52,-0.59,-1.84%,32.01,31.235,1604700,18:30 ET
WST,West Pharmaceutical Services,392.68,4.91,1.27%,393.29,387.833,369775,18:30 ET
WTW,Willis Towers Watson Public Ltd,200.92,1.98,1.00%,201.3,197.9,700800,2023-08-21
WY,Weyerhaeuser Company,32.41,0.11,0.34%,32.48,32.0114,2439101,18:30 ET
WYNN,Wynn Resorts Ltd,94.2,0.32,0.34%,94.59,92.72,2024200,2023-08-21
XEL,XCEL Energy Inc,57.96,-0.23,-0.40%,58.35,57.23,3132100,2023-08-21
XOM,Exxon Mobil Corp,108.71,-1.33,-1.21%,110.9793,108.1416,11090933,18:30 ET
XRAY,Dentsply Sirona Inc,37.56,0.26,0.70%,37.66,37.27,1121200,2023-08-21
XYL,Xylem Inc,99.91,0.45,0.45%,100.225,98.55,773696,18:30 ET
YUM,Yum! Brands,128.8,-0.31999999999999,-0.25%,129.79,128.51,1537075,18:30 ET
ZBH,Zimmer Biomet Holdings,120.35,1.17,0.98%,120.54,119.02,1248085,18:30 ET
ZBRA,Zebra Technologies,267.53,-4.45,-1.64%,273,266.5,373900,2023-08-21
ZION,Zions Bancorp,34.53,-0.2,-0.58%,35,33.93,2127700,2023-08-21
ZTS,Zoetis Inc Cl A,180.81,-0.75999999999999,-0.42%,182.63,179.965,860197,2023-08-21
